day;date;weekDay;open;intermediary;close;high;low;dailyAvg;retornoDiscreto;retornoContinuo;longEMA;shortEMA;longSMA;shortSMA
53;2024-09-07;Saturday;6,20721;6,20721;6,20721;6,20721;6,20721;6,20721;0,00000%;0,00000%;5,57621;5,60274;6,17321;6,21975
54;2024-09-08;Sunday;6,20721;6,20721;6,20694;6,20721;6,20694;6,20712;-0,00435%;-0,00435%;5,57834;5,60139;6,18389;6,21239
55;2024-09-09;Monday;6,19544;6,16451;6,16462;6,19544;6,16451;6,17486;-0,68182%;-0,68415%;5,57899;5,59598;6,18742;6,19466
56;2024-09-10;Tuesday;6,18891;6,23457;6,24969;6,24969;6,18891;6,22439;1,37997%;1,37054%;5,58712;5,61875;6,19436;6,20713
57;2024-09-11;Wednesday;6,2135;6,23309;6,24305;6,24305;6,21350;6,22988;-0,10625%;-0,10630%;5,59492;5,63552;6,19539;6,21430
58;2024-09-12;Thursday;6,24409;6,21913;6,23598;6,24409;6,21913;6,23307;-0,11325%;-0,11331%;5,59799;5,63272;6,20018;6,22006
59;2024-09-13;Friday;6,18266;6,16489;6,16356;6,18266;6,16356;6,17037;-1,16133%;-1,16812%;5,59483;5,61008;6,20135;6,21138
60;2024-09-14;Saturday;6,16356;6,16356;6,16356;6,16356;6,16356;6,16356;0,00000%;0,00000%;5,59197;5,59499;6,20254;6,21117
61;2024-09-15;Sunday;6,16356;6,16356;6,16356;6,16356;6,16356;6,16356;0,00000%;0,00000%;5,58938;5,58493;6,20372;6,19394
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
